nProducers	nConsumers	type	Score	Error	Units	backoffStartTimeout	chunkSize	cleanupCycles
8	4	SALSA	597,148	9,371	ops/ms	50	500000	1
8	6	SALSA	624,695	23,407	ops/ms	50	500000	1
8	8	SALSA	518,216	59,1	ops/ms	50	500000	1
8	1	SALSA	533,005	41,193	ops/ms	50	500000	2147483647
8	2	SALSA	560,104	26,387	ops/ms	50	500000	2147483647
8	4	SALSA	565,667	53,839	ops/ms	50	500000	2147483647
8	6	SALSA	575,524	58,032	ops/ms	50	500000	2147483647
8	8	SALSA	519,473	50,133	ops/ms	50	500000	2147483647
1	1	FJP	131,708	0,444	ops/ms			
1	1	TPE	134,227	0,851	ops/ms			
1	2	FJP	124,45	3,847	ops/ms			
1	2	TPE	132,889	1,745	ops/ms			
1	4	FJP	127,024	0,633	ops/ms			
1	4	TPE	132,703	0,685	ops/ms			
1	6	FJP	127,476	1,262	ops/ms			
1	6	TPE	129,492	7,914	ops/ms			
1	8	FJP	126,353	3,625	ops/ms			
1	8	TPE	128,323	1,882	ops/ms			
2	1	FJP	231,671	2,059	ops/ms			
2	1	TPE	239,01	2,114	ops/ms			
2	2	FJP	200,114	0,937	ops/ms			
2	2	TPE	196,253	0,606	ops/ms			
2	4	FJP	202,41	0,837	ops/ms			
2	4	TPE	214,752	10,586	ops/ms			
2	6	FJP	205,683	0,97	ops/ms			
2	6	TPE	216,907	0,768	ops/ms			
2	8	FJP	206,062	1,153	ops/ms			
2	8	TPE	219,24	0,19	ops/ms			
4	1	FJP	527,881	13,446	ops/ms			
4	1	TPE	545,825	1,3	ops/ms			
4	2	FJP	404,139	7,359	ops/ms			
4	2	TPE	397,37	3,77	ops/ms			
4	4	FJP	330,605	1,606	ops/ms			
4	4	TPE	370,115	3,197	ops/ms			
4	6	FJP	376,465	4,287	ops/ms			
4	6	TPE	372,979	5,557	ops/ms			
4	8	FJP	414,315	1,856	ops/ms			
4	8	TPE	386,784	11,572	ops/ms			
6	1	FJP	538,702	1,763	ops/ms			
6	1	TPE	545,18	5,06	ops/ms			
6	2	FJP	468,296	5,319	ops/ms			
6	2	TPE	508,605	8,172	ops/ms			
6	4	FJP	403,806	2,482	ops/ms			
6	4	TPE	446,442	2,611	ops/ms			
6	6	FJP	425,25	2,426	ops/ms			
6	6	TPE	431,213	2,409	ops/ms			
6	8	FJP	455,621	9,728	ops/ms			
6	8	TPE	431,562	3,217	ops/ms			
8	1	FJP	539,058	1,078	ops/ms			
8	1	TPE	558,43	7,42	ops/ms			
8	2	FJP	536,365	3,166	ops/ms			
8	2	TPE	568,014	4,119	ops/ms			
8	4	FJP	480,097	14,986	ops/ms			
8	4	TPE	530,44	12,688	ops/ms			
8	6	FJP	479,424	3,741	ops/ms			
8	6	TPE	477,023	8,454	ops/ms			
8	8	FJP	513,101	2,342	ops/ms			
8	8	TPE	487,912	9,446	ops/ms			
